class,family_name,first_name,profession,ward_number,staff_uuid,phone_number
Patient,Stanley,Julia,Teacher,,,
Patient,Freeman,Eugene,Financial Analyst,,,
Patient,Washington,Randy,Paralegal,5,,
Nurse,Burns,Gloria,,10,yOaW5BzeIPH,
Nurse,Fernandez,Ann,,9,nTtbe8,
Patient,George,Nicole,Computer Systems Analyst III,2,,
Patient,Jacobs,Joe,Statistician IV,,,
Patient,Carpenter,Mark,Clinical Specialist,5,,
Patient,Parker,Stephanie,Food Chemist,4,,
Doctor,Scott,Eric,,,fSdUAnNJB,04 8384 4917
Patient,Ford,Bobby,Software Test Engineer III,7,,
Nurse,Burns,Terry,,4,2Kmhoe3,
Nurse,Stewart,Phillip,,3,OQxQYe3Pg,
Patient,Morrison,Wayne,Staff Scientist,4,,
Patient,Davis,Tina,Account Coordinator,5,,
Patient,Johnston,Jane,Information Systems Manager,10,,
Patient,Jackson,Amanda,Account Representative II,5,,
Patient,Mason,Shirley,Administrative Officer,3,,
Patient,Crawford,Nicholas,Quality Engineer,8,,
Nurse,Olson,Brenda,,3,OCkYehRjNj,
Patient,Roberts,Catherine,Product Engineer,10,,
Patient,Stone,Jose,VP Quality Control,9,,
Doctor,Chapman,Carlos,,,H2gXdg,04 0936 7653
Patient,Thompson,Ernest,Research Associate,8,,
Patient,Howard,Arthur,Paralegal,8,,
Patient,Campbell,Shawn,Pharmacist,7,,
Doctor,Daniels,Heather,,,k5faPWJZ,04 9754 2548
Patient,Baker,Philip,Computer Systems Analyst III,3,,
Patient,Garrett,Mary,Assistant Media Planner,4,,
Patient,Daniels,Anna,Occupational Therapist,3,,
Patient,Garcia,Betty,Paralegal,,,
Doctor,Hall,Annie,,,ZMGT9w2,04 6696 4760
Nurse,George,Gregory,,7,yjGsCDg,
Patient,Austin,Shirley,Research Assistant III,8,,
Patient,Owens,Jerry,GIS Technical Architect,7,,
Patient,Adams,Christina,Social Worker,8,,
Patient,Hudson,Jesse,Help Desk Technician,5,,
